fname,ridge,rf,lr,gb,xbg,dt,lasso,enr,knn
time_series-GOOGL-1day.csv,0.03810877568691802,0.20900362206749035,0.038101638984347694,0.20608141236880245,0.20636319222478772,0.18572152352093596,0.03765516380859657,0.037540093223311886,0.23363344288006752
time_series-XOM-1day.csv,0.029174456722849185,0.02826581271989932,0.02917276108912126,0.023229043482029685,0.02511422290116603,0.02719921473988218,0.02350104726985308,0.02633592444302538,0.033634791954595934
time_series-PYPL-1day.csv,0.03879706384543728,0.050714683303879994,0.03877443471554772,0.07967608481200635,0.06026874999969206,0.04082653251151639,0.042233055199881755,0.042011154381276436,0.06782662153556034
time_series-PFE-1day.csv,0.027478517957542758,0.08261091069780667,0.027490392128236764,0.10738204836815289,0.09740767774798255,0.08291779094574744,0.028306879795594316,0.028190433356587066,0.08675855399248304
time_series-PG-1day.csv,0.01868657381166711,0.027071575839944646,0.018694661446792556,0.036258440731237754,0.028801331062768516,0.02865805201372121,0.017518603328818293,0.017518603328818293,0.032946493586324184
time_series-V-1day.csv,0.017855346715955307,0.023348136183843047,0.017887151830199878,0.02506923427931334,0.024132287643225205,0.02244936522431597,0.01776590420185444,0.0177493494287629,0.022342133098243438
time_series-DIS-1day.csv,0.037816353416793916,0.06469264711715378,0.03794921461252408,0.048030835744653146,0.040883431551020415,0.042911953784000964,0.03708667009717162,0.03773586158438646,0.05061781435293543
time_series-NEE-1day.csv,0.024577270990241287,0.029184115385290782,0.03198745332387995,0.034027264413649234,0.037353604799103594,0.02841163413418553,0.029393866754502323,0.028478041694081916,0.034848358580718726
time_series-LMT-1day.csv,0.021046394877814668,0.026034919996834018,0.021238430195366413,0.027200546553500963,0.02456474924181783,0.025491111285861838,0.021406457047796014,0.02183706979512125,0.0379879855904884
precipitation_sum-2024-10-08.csv,9509972610696418.0,9752049277557746.0,1.0061603858441466e+16,6705720663696656.0,3734791382956413.5,4511499142801486.0,7056088773763522.0,7056088773763522.0,4745188072497660.0
time_series-SMC-1day.csv,0.08592152584584276,0.03609600954660747,0.12371978547535485,0.04018784379881857,0.033474747073002985,0.03869693980645835,0.03633896870285105,0.037845675111717755,0.045234873327423514
time_series-SM-1day.csv,0.05487888446721269,0.07309977071269919,0.06509930829443646,0.0578798551952577,0.05472025785091311,0.05212632811428687,0.05203831428109022,0.05123838263470251,0.07883534326780876
time_series-TEL-1day.csv,0.020053226522825412,0.02056344488420695,0.020014433478584084,0.023568587588478455,0.022347650855060554,0.020697028316376487,0.02240892861835712,0.02242093644593562,0.030589108811370683
time_series-KO-1day.csv,0.012158994585740476,0.011771002832050582,0.01411724981884744,0.012667590880099399,0.011405582925568673,0.012404470728848564,0.011192397561400636,0.010922198040287368,0.01353662341358646
time_series-AXP-1day.csv,0.033134842212964276,0.035448568294023035,0.035941649967206994,0.039995076754667104,0.03368721858947652,0.035280276985180166,0.0354572457298948,0.0354572457298948,0.04053854390096614
time_series-AMZN-1day.csv,0.04704518622113056,0.14218231036599202,0.05269404218842673,0.13500297920190146,0.13650870961054312,0.1248361415996292,0.04740753832786956,0.04722646035690371,0.15358550039933735
apparent_temperature_mean-2024-10-08.csv,0.037312409400862535,0.0390298723292399,0.037436415054404225,0.03532566899429132,0.03500309842164348,0.04037279974782942,0.03768442491695321,0.03765413006480967,0.03726943867068194
time_series-TSLA-1day.csv,0.10777009166875728,0.10201215323392679,0.10976989890745427,0.12043401472286115,0.11841992144843365,0.0954297261292948,0.09227089791388143,0.09213344208541772,0.12944529917238956
time_series-CSCO-1day.csv,0.018100252888465673,0.0166551808628732,0.0180827805948915,0.021242452120233245,0.01675042816891587,0.016887826705540912,0.01783803021530697,0.018008961330616913,0.019813813226815184
daylight_duration-2024-10-08.csv,0.00011206351529817299,0.005175127788520915,4.08122481945765e-05,0.0008438481625380706,0.000909027948056753,0.003361462944827576,0.004265757132122941,0.003811828441363631,0.004152102815215466
temperature_2m_min-2024-10-08.csv,0.025072751664114105,0.02277870957878173,0.02546322163035695,0.023084600841592504,0.02356600978606966,0.022938484526636427,0.02498236696578998,0.024829757529781518,0.026549668974228474
time_series-PEP-1day.csv,0.018624188276361857,0.017292564206849447,0.020851354785542352,0.016198196702274605,0.015801671009413498,0.015124527862636378,0.015198692524516753,0.01367558319705236,0.022800070246613888
time_series-SBUX-1day.csv,0.023527707448296215,0.02427407307261157,0.026782885246319485,0.024591022599414904,0.02583284473596034,0.02287444262381031,0.021217416950846293,0.022552016583225802,0.02157721308514615
time_series-UNH-1day.csv,0.018028664407170825,0.020305886138317686,0.020526949539625795,0.024851180907377958,0.020780514772116288,0.01802537981049034,0.020876068102699825,0.01974755355096807,0.01957480552708105
time_series-JNJ-1day.csv,0.019656776659540104,0.01993936123769566,0.0194456741865343,0.022194966331257303,0.01950125439522194,0.02100261829901165,0.01911811889986291,0.019087204501784683,0.024311804720644974
time_series-MCD-1day.csv,0.034838696555642173,0.01995697547724166,0.03941656235471979,0.022841749924648592,0.016972322598524416,0.01925557554227986,0.02233484243848542,0.017738968550171028,0.02699419782393335
rain_sum-2024-10-08.csv,2988557368523914.0,3610787318278012.0,3052561014954892.0,3297796606320926.0,3627019324989450.0,3504895973415324.5,3158728006199957.0,3250300546091666.5,1496039501217138.0
time_series-BAC-1day.csv,0.045175151207823804,0.036326930354331585,0.05470347247124862,0.03761358039330947,0.03220573821355871,0.03601698012739534,0.03156798818571316,0.032472468699127476,0.03858694101306004
