fname,ridge,rf,lr,gb,xbg,dt,lasso,enr,knn
D145_D146_D147.csv,21146363.060434617,20542638.27055045,21148298.445668474,20559262.413511094,20416815.16647451,1809.5788110419628,21120152.733009756,21120152.733009756,20675943.312137187
D15_D16_D17.csv,4322995.419945234,3481571.717252211,4366220.90274899,3478648.5179143744,3429346.082876614,107589.0423887461,4316199.177162984,4217523.42960708,3313254.3248150004
D158_D159_D160.csv,779178.9093619436,921648.7931488542,822348.8189359941,823469.3492930941,871352.2790889356,22681.026951510717,808679.9321553871,814175.9703144651,821239.5836684672
D1659_D1660_D1661.csv,21958928.012682054,21744593.35390872,22662073.568245776,21581759.27537504,21738446.522694185,3201.053413360989,21370399.742039107,21376213.609248128,22131031.576111108
D2083_D2084_D2085.csv,1778694.7894736843,1778694.7894736843,1778694.7894736843,1778694.7894736843,1778694.7894736843,7319694.736842105,1778694.7894736843,1778694.7894736843,1778694.7894736843
D46_D47_D48.csv,105361707.95101328,105364207.36231486,105359809.11672601,105364055.32368796,105363991.73717675,0.013228195934311677,105361611.67479429,105362770.06557888,105365967.9594819
D146_D147_D148.csv,9878299.555717062,9786561.900603725,7678476.086064684,10665354.736647606,10637845.926977146,68772.51801302236,9559673.79247531,9527412.327018019,9488245.46839
D2065_D2066_D2067.csv,1066458.3817341332,1154026.1955833747,2033013.341868707,1179552.3013115951,1243376.1454256622,3527.5181829865237,1062582.4196027538,1054593.498785338,1037302.647137705
D37_D38_D39.csv,41077.48739621097,33374.81082021607,31160.729846244914,44902.570421928904,34851.83545797652,10040.35463853485,78290.44995978687,38932.264339266636,40157.23689655173
D2055_D2056_D2057.csv,106899.79393885274,103156.6247293688,133981.56465716363,105587.21979503524,101393.4631114998,1363.2288870449684,112657.28997837089,112121.18300959902,97992.53785714286
D2044_D2045_D2046.csv,27925100.39668248,26818012.256703347,27927449.12054173,27385015.409303077,27060623.640068244,79469.84073156246,27635217.83826785,27844112.214937292,28042657.162125003
D129_D130_D131.csv,3150159.130227773,2500934.8774265833,3053840.2253346713,2452153.3940964257,2576040.9373979596,49556.525498383,2812893.948883242,2817325.597019878,2555810.4357684753
D3630_D3631_D3632.csv,1145707.6808550379,1405674.8339352128,847438.2611363857,1343524.4961812212,1368428.1491233646,24101.26362754859,1015461.826733026,1093575.6736271745,1273820.1502564102
D2074_D2075_D2076.csv,1636650.8504048442,2019083.978896457,1271191.7040017154,1848105.3142311308,854397.5602865363,12536958.800523182,3597454.038445686,3499447.952550976,469219.5806701107
D162_D163_D164.csv,72715.41168415066,72992.81292200724,24826.935082749183,75271.11072020722,99115.95219695166,18824.105520823756,55711.85074665594,53746.012830186766,53523.300836827955
D3639_D3640_D3641.csv,12624762.304636007,13349104.015889304,12766149.193283254,13279139.711226478,13303961.993405864,37140.4597505669,12539015.04974203,12506390.253415044,13343967.026441926
D1642_D1643_D1644.csv,4873349.485883465,4435936.963209327,5112824.290034086,4462483.874023831,4640573.162650001,13921.771506748986,4733351.050838062,4881752.657594239,4384507.054738563
D1628_D1629_D1630.csv,7085192.024736022,7396469.041547175,7944723.166374775,7088898.943402216,7317443.521921878,46610.635253095264,7190117.343218394,7429282.008105457,7199272.024530294
D3616_D3617_D3618.csv,108258.46736259777,120407.16212877158,91279.2359718008,122954.90452752299,126272.43452813911,2250.942827783047,119252.7738671449,115238.69667991826,149148.55749999997
D1622_D1623_D1624.csv,27866173.53294953,28951056.876038425,27840193.013730578,28915760.56212753,29063421.120402195,25554.224177192482,28041219.40649148,27896305.304601055,29025695.301418442
