time,daylight_duration
08/22/2023,45676.23
08/23/2023,45616.21
08/24/2023,45556.05
08/25/2023,45495.78
08/26/2023,45435.44
08/27/2023,45374.67
08/28/2023,45313.3
08/29/2023,45251.39
08/30/2023,45188.98
08/31/2023,45126.12
09/01/2023,45062.84
09/02/2023,44999.21
09/03/2023,44935.25
09/04/2023,44871.02
09/05/2023,44806.56
09/06/2023,44741.91
09/07/2023,44677.12
09/08/2023,44612.21
09/09/2023,44547.25
09/10/2023,44482.27
09/11/2023,44417.3
09/12/2023,44352.39
09/13/2023,44287.57
09/14/2023,44222.9
09/15/2023,44158.4
09/16/2023,44093.71
09/17/2023,44028.64
09/18/2023,43963.25
09/19/2023,43897.57
09/20/2023,43831.66
09/21/2023,43765.55
09/22/2023,43699.28
09/23/2023,43632.9
09/24/2023,43566.46
09/25/2023,43499.98
09/26/2023,43433.52
09/27/2023,43367.11
09/28/2023,43300.8
09/29/2023,43234.63
09/30/2023,43168.65
10/01/2023,43102.88
10/02/2023,43037.39
10/03/2023,42972.2
10/04/2023,42907.37
10/05/2023,42842.92
10/06/2023,42778.47
10/07/2023,42713.82
10/08/2023,42649.02
10/09/2023,42584.12
10/10/2023,42519.17
10/11/2023,42454.21
10/12/2023,42389.29
10/13/2023,42324.47
10/14/2023,42259.78
10/15/2023,42195.29
10/16/2023,42131.04
10/17/2023,42067.07
10/18/2023,42003.45
10/19/2023,41940.22
10/20/2023,41877.43
10/21/2023,41815.14
10/22/2023,41753.42
10/23/2023,41692.29
10/24/2023,41631.82
10/25/2023,41572.07
10/26/2023,41512.59
10/27/2023,41453.18
10/28/2023,41393.9
10/29/2023,41334.81
10/30/2023,41275.95
10/31/2023,41217.39
11/01/2023,41159.18
11/02/2023,41101.39
11/03/2023,41044.07
11/04/2023,40987.27
11/05/2023,40931.07
11/06/2023,40875.53
11/07/2023,40820.7
11/08/2023,40766.64
11/09/2023,40713.45
11/10/2023,40661.16
11/11/2023,40609.84
11/12/2023,40559.57
11/13/2023,40510.42
11/14/2023,40462.44
11/15/2023,40415.22
11/16/2023,40368.57
11/17/2023,40322.53
11/18/2023,40277.16
11/19/2023,40232.52
11/20/2023,40188.66
11/21/2023,40145.64
11/22/2023,40103.53
11/23/2023,40062.37
11/24/2023,40022.22
11/25/2023,39983.15
11/26/2023,39945.21
11/27/2023,39908.48
11/28/2023,39872.99
11/29/2023,39838.82
11/30/2023,39806.04
12/01/2023,39774.69
12/02/2023,39744.86
12/03/2023,39716.58
12/04/2023,39689.93
12/05/2023,39664.64
