datetime,close
2024-10-07,96.09
2024-10-04,96.58
2024-10-03,95.56
2024-10-02,96.5
2024-10-01,97.43
2024-09-30,97.49
2024-09-27,97.36
2024-09-26,97.47
2024-09-25,95.62
2024-09-24,94.45
2024-09-23,95.48
2024-09-20,96.05
2024-09-19,96.9
2024-09-18,96.12
2024-09-17,96.44
2024-09-16,96.31
2024-09-13,98.57
2024-09-12,99.28
2024-09-11,98.2
2024-09-10,93.34
2024-09-09,92.21
2024-09-06,91.15
2024-09-05,91.56
2024-09-04,92.33
2024-09-03,93.18
2024-08-30,94.57
2024-08-29,94.86
2024-08-28,95.3
2024-08-27,98.6
2024-08-26,95.63
2024-08-23,94.02
2024-08-22,92.43
2024-08-21,92.78
2024-08-20,93.01
2024-08-19,92.3
2024-08-16,94.81
2024-08-15,94.88
2024-08-14,93.9
2024-08-13,95.9
2024-08-12,77.03
2024-08-09,75.09
2024-08-08,75.75
2024-08-07,75.29
2024-08-06,75.37
2024-08-05,73.86
2024-08-02,75.88
2024-08-01,75.11
2024-07-31,77.95
2024-07-30,75.94
2024-07-29,75.2
2024-07-26,74.05
2024-07-25,73.32
2024-07-24,74.68
2024-07-23,76.26
2024-07-22,76.55
2024-07-19,79.27
2024-07-18,74.19
2024-07-17,75.1
2024-07-16,75.51
2024-07-15,72.75
2024-07-12,74.83
2024-07-11,73.3
2024-07-10,72.51
2024-07-09,72.75
2024-07-08,74.57
2024-07-05,76.05
2024-07-03,76.26
2024-07-02,76.83
2024-07-01,77.13
2024-06-28,77.85
2024-06-27,79.24
2024-06-26,79.15
2024-06-25,79.28
2024-06-24,79.73
2024-06-21,79.91
2024-06-20,79.72
2024-06-18,80.2
2024-06-17,81.33
2024-06-14,79.65
2024-06-13,80.24
2024-06-12,79.38
2024-06-11,79.89
2024-06-10,81.6
2024-06-07,81.43
2024-06-06,81.47
2024-06-05,81.16
2024-06-04,82.79
2024-06-03,82.08
2024-06-02,82.08
2024-05-31,80.22
2024-05-30,80.22
2024-05-29,76.88
2024-05-28,77.48
2024-05-24,78.87
2024-05-23,78.31
2024-05-22,80.72
2024-05-21,77.72
2024-05-20,77.54
2024-05-17,77.85
2024-05-16,75.28
2024-05-15,75.7
2024-05-14,75.63
2024-05-13,76.18
2024-05-10,76.11
2024-05-09,75.68
2024-05-08,73.5
2024-05-07,72.5
2024-05-06,72.9
2024-05-03,73.11
2024-05-02,74.93
2024-05-01,74.44
2024-04-30,88.49
2024-04-29,88.33
2024-04-26,88.25
2024-04-25,87.84
2024-04-24,88.75
2024-04-23,87.87
2024-04-22,88.18
2024-04-19,87.61
2024-04-18,87.15
2024-04-17,86.21
2024-04-16,85.42
2024-04-15,85.17
2024-04-12,84.92
2024-04-11,85.9
2024-04-10,85.95
2024-04-09,87.13
2024-04-08,87.19
2024-04-05,86.85
2024-04-04,87.62
2024-04-03,88.7
2024-04-02,89.3
2024-04-01,91.53
2024-03-28,91.39
2024-03-27,91.5
2024-03-26,90.36
2024-03-25,90.67
2024-03-22,90.71
2024-03-21,91.66
2024-03-20,92.6
2024-03-19,91.59
2024-03-18,91.01
2024-03-15,90.12
2024-03-14,91.66
2024-03-13,91.61
2024-03-12,92.4
2024-03-11,92.07
2024-03-08,91.06
2024-03-07,90.95
2024-03-06,91.65
2024-03-05,91.22
2024-03-04,92.46
2024-03-01,93.16
2024-02-29,94.9
2024-02-28,93.0
2024-02-27,94.13
2024-02-26,94.28
2024-02-23,95.62
2024-02-22,95.78
2024-02-21,95.02
2024-02-20,93.46
2024-02-16,93.22
2024-02-15,93.22
2024-02-14,94.07
2024-02-13,93.87
2024-02-12,95.47
2024-02-09,97.3
