time,precipitation_sum
11/16/2023,5
11/17/2023,9.5
11/18/2023,0.5
11/19/2023,0
11/20/2023,0
11/21/2023,3.3
11/22/2023,0
11/23/2023,1.7
11/24/2023,3.3
11/25/2023,5.1
11/26/2023,0.1
11/27/2023,1.3
11/28/2023,18.1
11/29/2023,29.7
11/30/2023,1.2
12/01/2023,1.2
12/02/2023,3.4
12/03/2023,0.1
12/04/2023,1.7
12/05/2023,0
12/06/2023,0
12/07/2023,0
12/08/2023,0
12/09/2023,0.6
12/10/2023,2.6
12/11/2023,0.9
12/12/2023,0.9
12/13/2023,0.4
12/14/2023,0.5
12/15/2023,0.3
12/16/2023,0
12/17/2023,0.2
12/18/2023,0.3
12/19/2023,0.1
12/20/2023,36.7
12/21/2023,1.1
12/22/2023,0.1
12/23/2023,1.2
12/24/2023,14.3
12/25/2023,1.3
12/26/2023,4.8
12/27/2023,10.1
12/28/2023,1.1
12/29/2023,12.8
12/30/2023,0.1
12/31/2023,2.2
01/01/2024,3.2
01/02/2024,0.4
01/03/2024,0
01/04/2024,2.4
01/05/2024,1
01/06/2024,0.2
01/07/2024,0.1
01/08/2024,5.4
01/09/2024,1.1
01/10/2024,0.1
01/11/2024,1.8
01/12/2024,1.8
01/13/2024,0.8
01/14/2024,9
01/15/2024,43.5
01/16/2024,2
01/17/2024,14.6
01/18/2024,1.4
01/19/2024,0.1
01/20/2024,1.2
01/21/2024,0
01/22/2024,0.1
01/23/2024,0.8
01/24/2024,0
01/25/2024,0
01/26/2024,0.1
01/27/2024,1.5
01/28/2024,0.3
01/29/2024,0.5
01/30/2024,1.3
01/31/2024,1.4
02/01/2024,0
02/02/2024,0.1
02/03/2024,0.5
02/04/2024,0
02/05/2024,0
02/06/2024,7.4
02/07/2024,0.8
02/08/2024,0
02/09/2024,1.2
02/10/2024,1.1
02/11/2024,0.2
02/12/2024,0
02/13/2024,0.6
02/14/2024,2.1
02/15/2024,1.5
02/16/2024,29
02/17/2024,2.5
02/18/2024,0
02/19/2024,19.5
02/20/2024,15.9
02/21/2024,6.7
02/22/2024,0.3
02/23/2024,3.9
02/24/2024,5.3
02/25/2024,0
02/26/2024,0.2
02/27/2024,2.1
02/28/2024,0.5
02/29/2024,0.2
03/01/2024,0.1
03/02/2024,12.4
03/03/2024,0.1
03/04/2024,0
03/05/2024,0
03/06/2024,0
03/07/2024,0
03/08/2024,0.5
03/09/2024,0
03/10/2024,0.1
03/11/2024,0.7
03/12/2024,0
03/13/2024,0.4
03/14/2024,0.6
03/15/2024,5.9
03/16/2024,2.1
03/17/2024,18.5
03/18/2024,3.2
03/19/2024,2
03/20/2024,9.7
03/21/2024,0.4
03/22/2024,0.4
03/23/2024,2.3
03/24/2024,2.6
03/25/2024,0
03/26/2024,0
03/27/2024,0.3
03/28/2024,2.9
03/29/2024,0
03/30/2024,0
03/31/2024,0
04/01/2024,0
04/02/2024,16.9
04/03/2024,0.5
04/04/2024,12.4
04/05/2024,83.4
04/06/2024,38.1
04/07/2024,0.5
04/08/2024,1.1
04/09/2024,17.6
04/10/2024,0.1
04/11/2024,0
04/12/2024,0
04/13/2024,0.6
04/14/2024,1.3
04/15/2024,0
04/16/2024,1.1
04/17/2024,1.5
04/18/2024,0.4
04/19/2024,0.6
04/20/2024,10.8
04/21/2024,0.6
04/22/2024,0
04/23/2024,0
04/24/2024,0
04/25/2024,0
04/26/2024,0
04/27/2024,0.5
04/28/2024,0
04/29/2024,0
04/30/2024,4.3
05/01/2024,6.7
05/02/2024,5.5
05/03/2024,18
05/04/2024,4.2
05/05/2024,41
05/06/2024,9
05/07/2024,7.3
05/08/2024,16.4
05/09/2024,17.8
05/10/2024,6.5
05/11/2024,43
05/12/2024,13.2
05/13/2024,3.2
05/14/2024,0.2
05/15/2024,0
05/16/2024,0.5
05/17/2024,0
05/18/2024,3.8
05/19/2024,0
05/20/2024,0.8
05/21/2024,0.4
05/22/2024,0
05/23/2024,0
05/24/2024,0
05/25/2024,0
05/26/2024,0
05/27/2024,0
05/28/2024,0
05/29/2024,0
05/30/2024,0
05/31/2024,4.5
06/01/2024,45
06/02/2024,15.5
06/03/2024,0
06/04/2024,0
06/05/2024,1.4
06/06/2024,24
06/07/2024,19.9
06/08/2024,0.5
06/09/2024,0
06/10/2024,0
06/11/2024,0
06/12/2024,1
06/13/2024,0
06/14/2024,4.1
06/15/2024,19.1
06/16/2024,0
06/17/2024,0.1
06/18/2024,0
06/19/2024,0
06/20/2024,0
06/21/2024,0.2
06/22/2024,5.4
06/23/2024,2.1
06/24/2024,0
06/25/2024,0
06/26/2024,0
06/27/2024,0
06/28/2024,0
06/29/2024,0
06/30/2024,4.5
07/01/2024,0.7
07/02/2024,2.6
07/03/2024,3.6
07/04/2024,5.3
07/05/2024,3.1
07/06/2024,2.3
07/07/2024,0.7
07/08/2024,5
07/09/2024,4.1
07/10/2024,0.2
07/11/2024,0
07/12/2024,0
07/13/2024,0
07/14/2024,0
07/15/2024,0
07/16/2024,0.2
07/17/2024,0.4
07/18/2024,0
07/19/2024,0
07/20/2024,0.1
07/21/2024,0
07/22/2024,0.1
07/23/2024,0
07/24/2024,0
07/25/2024,0
07/26/2024,0.8
07/27/2024,4
07/28/2024,0
07/29/2024,0
07/30/2024,0.4
07/31/2024,0
08/01/2024,0.9
08/02/2024,1.7
08/03/2024,0
08/04/2024,0
08/05/2024,0.3
08/06/2024,0.2
08/07/2024,0
08/08/2024,0
08/09/2024,0.9
08/10/2024,0.6
08/11/2024,1.4
08/12/2024,2.2
08/13/2024,10.2
08/14/2024,16.3
08/15/2024,1
08/16/2024,2.6
08/17/2024,0.1
08/18/2024,0.1
08/19/2024,0.5
08/20/2024,0
08/21/2024,0
08/22/2024,0
08/23/2024,0
08/24/2024,2.4
08/25/2024,0.1
08/26/2024,0
08/27/2024,0
08/28/2024,0
08/29/2024,0
08/30/2024,0
08/31/2024,0
09/01/2024,0
09/02/2024,0
09/03/2024,0
09/04/2024,0
09/05/2024,0
09/06/2024,0
09/07/2024,3.6
09/08/2024,0
09/09/2024,0
09/10/2024,0.1
09/11/2024,0
09/12/2024,1.1
09/13/2024,0
09/14/2024,0
09/15/2024,0
09/16/2024,0
09/17/2024,0
09/18/2024,0
09/19/2024,0
09/20/2024,0
09/21/2024,0
09/22/2024,0
09/23/2024,0
09/24/2024,0
09/25/2024,0.2
09/26/2024,19
09/27/2024,2.4
09/28/2024,1.1
09/29/2024,1.9
09/30/2024,14.9
10/01/2024,0
10/02/2024,2.5
